1.3 2.8
3.7 1.2
3.6 5.1
2.2 0.9
4.5 3.1
4.9 1.6
2.8 4.2
3.1 0.4
3.9 2.5
2.5 3.7
2.1 1.8
1.8 2.3
3.3 0.6
5.3 4.8
2.6 1.9
A B 96
B A 96
A C 25
C A 25
A D 45
D A 45
A E 38
E A 38
A F 61
F A 61
A G 60
G A 60
A H 28
H A 28
A I 61
I A 61
A J 77
J A 77
A K 84
K A 84
A L 15
L A 15
A M 70
M A 70
A N 24
N A 24
A O 77
O A 77
B C 82
C B 82
B D 4
D B 4
B E 49
E B 49
B F 71
F B 71
B G 25
G B 25
B H 77
H B 77
B I 27
I B 27
B J 70
J B 70
B K 95
K B 95
B L 83
L B 83
B M 20
M B 20
B N 44
N B 44
B O 4
O B 4
C D 16
D C 16
C E 40
E C 40
C F 10
F C 10
C G 59
G C 59
C H 91
H C 91
C I 35
I C 35
C J 20
J C 20
C K 25
K C 25
C L 61
L C 61
C M 86
M C 86
C N 41
N C 41
C O 78
O C 78
D E 47
E D 47
D F 70
F D 70
D G 4
G D 4
D H 21
H D 21
D I 99
I D 99
D J 92
J D 92
D K 14
K D 14
D L 42
L D 42
D M 65
M D 65
D N 37
N D 37
D O 58
O D 58
E F 11
F E 11
E G 33
G E 33
E H 58
H E 58
E I 96
I E 96
E J 18
J E 18
E K 94
K E 94
E L 20
L E 20
E M 78
M E 78
E N 42
N E 42
E O 39
O E 39
F G 61
G F 61
F H 73
H F 73
F I 70
I F 70
F J 90
J F 90
F K 16
K F 16
F L 38
L F 38
F M 75
M F 75
F N 93
N F 93
F O 28
O F 28
G H 83
H G 83
G I 79
I G 79
G J 2
J G 2
G K 85
K G 85
G L 46
L G 46
G M 90
M G 90
G N 43
N G 43
G O 72
O G 72
H I 31
I H 31
H J 27
J H 27
H K 26
K H 26
H L 18
L H 18
H M 100
M H 100
H N 51
N H 51
H O 48
O H 48
I J 22
J I 22
I K 16
K I 16
I L 59
L I 59
I M 39
M I 39
I N 90
N I 90
I O 58
O I 58
J K 37
K J 37
J L 90
L J 90
J M 57
M J 57
J N 82
N J 82
M N 37
N M 37
M O 8
O M 8
N O 53
O N 53
